Rank,Title,Rating,Year
300,Naušika z Větrného údolí,84.7,1984
301,Hořící Mississippi,84.8,1988
302,Otec,84.8,2020
303,Manon od pramene,84.9,1986
304,Dnes naposled,85.0,1958
305,Harakiri,85.0,1962
306,Koe no katači,85.0,2016
307,Velká ryba,84.5,2003
308,Bláznivá střela,84.5,1988
309,Výměna,84.5,2008
310,Nepřítel státu,84.5,1998
311,Pravidla moštárny,84.5,1999
312,Billy Elliot,84.6,2000
313,Eva tropí hlouposti,84.5,1939
314,Můj soused Totoro,84.6,1988
315,Asterix a překvapení pro Cézara,84.6,1985
316,Železný obr,84.6,1999
317,Persepolis,84.6,2007
318,V zajetí rychlosti,84.6,2005
319,Den Šakala,84.7,1973
320,Barry Lyndon,84.6,1975
321,Gándhí,84.6,1982
322,Píseň moře,84.7,2014
323,Lawrence z Arábie,84.6,1962
324,Kočka na rozpálené plechové střeše,84.6,1958
325,Byt,84.7,1960
326,Shake Hands with the Devil,84.7,2007
327,Pohádka o Honzíkovi a Mařence,84.8,1980
328,Pohádky tisíce a jedné noci,84.8,1974
329,Vrah mezi námi,84.9,1931
330,Dangal,85.0,2016
331,Světla ramp,85.0,1952
332,"Dobrodružství Robinsona Crusoe, námořníka z Yorku",85.0,1981
333,Nebe a peklo,85.3,1963
334,Písečná žena,85.5,1964
335,Střihoruký Edward,84.4,1990
336,Doba ledová,84.5,2002
337,Věčný svit neposkvrněné mysli,84.4,2004
338,21 gramů,84.5,2003
339,Vlasy,84.5,1979
340,"„Čtyři vraždy stačí, drahoušku“",84.5,1970
341,Zuřící býk,84.5,1980
342,Klepání na nebeskou bránu,84.4,1997
343,The Doors,84.4,1991
344,Podivné dědictví,84.5,1972
345,Údolí včel,84.5,1967
346,Čekej do tmy,84.5,1967
347,Ukradená vzducholoď,84.5,1966
348,Rodinná oslava,84.6,1998
349,Knoflíková válka,84.5,1962
350,Kabinet doktora Caligariho,84.6,1920
351,Kdysi byli bojovníky,84.6,1994
352,Božské děti,84.7,1997
353,Andrej Rublev,84.7,1966
354,Zlaté opojení,84.7,1925
355,Rudovous,84.7,1965
356,Umlčení,84.7,2011
357,Mrtvá nevěsta Tima Burtona,84.3,2005
358,Tři veteráni,84.3,1983
359,Postřižiny,84.3,1980
360,Telefonní budka,84.3,2002
361,Spáči,84.3,1996
362,Hotel Modrá hvězda,84.3,1941
363,Casablanca,84.3,1942
364,Kráska a zvíře,84.3,1991
365,Uvnitř tančím,84.3,2004
366,Mise,84.4,1986
367,Chicagský tribunál,84.4,2020
368,"Jaro, léto, podzim, zima... a jaro",84.5,2003
369,"Hádej, kdo přijde na večeři",84.5,1967
370,Stará puška,84.6,1975
371,Zloději kol,84.6,1948
372,Pojistka smrti,84.7,1944
373,Krátký film o lásce,84.6,1988
374,Kdo seje vítr,84.7,1960
375,Ve službách papeže,84.8,1965
376,Východ slunce,85.0,1927
377,Na vlásku,84.2,2010
378,Úžasňákovi,84.2,2004
379,Wind River,84.2,2017
380,Ukradené Vánoce,84.3,1993
381,Rozpuštěný a vypuštěný,84.3,1984
382,Odplata,84.2,1999
383,Dr. Divnoláska aneb Jak jsem se naučil nedělat si starosti a mít rád bombu,84.3,1964
384,Láska a smrt,84.4,1975
385,Po stopách krve,84.4,1969
386,Nejdelší den,84.5,1962
387,Tři barvy: Červená,84.5,1994
388,Corpus Christi,84.4,2019
389,Fanny a Alexandr,84.5,1982
390,Děrsu Uzala,84.5,1975
391,Phar Lap: Národní hrdina,84.5,1983
392,Průvodce,84.5,2008
393,Za zvuků hudby,84.5,1965
394,Scény z manželského života,84.6,1974
395,O patro výš,84.9,1923
396,Vzpoura,85.2,1967
397,Podivuhodný případ Benjamina Buttona,84.1,2008
398,Pátý element,84.2,1997
399,Donnie Darko,84.1,2001
400,Kapitán Phillips,84.1,2013
401,Monty Python a Svatý Grál,84.2,1975
402,Vzpomínky na Afriku,84.2,1985
403,Závrať,84.2,1958
404,Legenda o Mulan,84.2,1998
405,Popelka,84.2,1950
406,Noc na Zemi,84.2,1991
407,Jak ukrást Venuši,84.2,1966
408,Neviditelný host,84.3,2016
409,Harold a Maude,84.2,1971
410,Krvavá neděle,84.3,2002
411,Bastard,84.3,2023
412,Moje levá noha,84.4,1989
413,Yojimbo,84.4,1961
414,"Paříž, Texas",84.3,1984
415,"Quo vadis, Aida?",84.5,2020
416,Cirkus,84.7,1928
417,Utrpení Panny orleánské,84.8,1928
418,Nejlepší léta našeho života,84.9,1946
419,Divotvůrkyně,85.5,1962
420,Piráti z Karibiku: Prokletí Černé perly,84.1,2003
421,Hvězdný prach,84.0,2007
422,Krvavý diamant,84.0,2006
423,Jméno růže,84.0,1986
424,Nesmiřitelní,84.0,1992
425,Upír Nosferatu,84.1,1922
426,Sedmá pečeť,84.1,1957
427,3-iron,84.1,2004
428,Unaveni sluncem,84.2,1994
429,Městečko South Park: Říše fantazie,84.3,2008
430,Zabíjení,84.2,1956
431,Nikdo mě nemá rád,84.4,1959
432,Poklad na Sierra Madre,84.5,1948
433,Faust,84.7,1926
434,Selhání vyloučeno,84.9,1964
435,Dárek do cely č.7,85.0,2019
436,Byl jsem lynčován,85.0,1936
437,Vojna a mír,85.3,1965
438,Drž hubu!,83.9,2003
439,Samotáři,83.9,2000
440,Avengers: Endgame,83.9,2019
441,Tři billboardy kousek za Ebbingem,84.0,2017
442,Fargo,83.9,1996
443,Tajemství hradu v Karpatech,84.0,1981
444,Parazit,84.0,2019
445,Blbec k večeři,84.0,1998
446,Ray,84.0,2004
447,Serpico,84.0,1973
448,Prolomit vlny,84.1,1996
449,Pouta války,84.0,2004
450,Prohnilí,84.1,1984
451,Kdo se bojí Virginie Woolfové?,84.1,1966
452,Doktor Živago,84.2,1965
453,Welkeom tu Dongmakgol,84.2,2005
454,Kimssi pyoryugi,84.2,2009
455,Útěk v řetězech,84.3,1958
456,Sanjuro,84.3,1962
457,Star Trek,83.8,2009
458,Logan: Wolverine,83.8,2017
459,Čínská čtvrť,83.9,1974
460,Bílá nemoc,83.9,1937
461,Nebožtíci přejí lásce,83.9,1972
462,Kráva,83.9,1993
463,Byl jsem při tom,84.0,1979
464,Jeden život,84.0,2023
465,Medená veža,84.1,1970
466,Vražda na objednávku,84.1,1954
467,Smrt si říká Engelchen,84.0,1963
468,Panu učiteli s láskou,84.2,1967
